 Time,Division,Ensemble,Scenario,Percentile,tasmax,tasmin,pr
1950-01-19 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -17.90,  -25.00,    0.10      
1950-01-19 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -17.50,  -24.70,    0.20      
1950-01-19 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -17.40,  -24.50,    0.20      
1950-01-19 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -17.10,  -24.50,    0.20      
1950-01-19 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -15.90,  -23.50,    0.30      
1950-01-19 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -17.31,  -24.55,    0.19      
1950-01-20 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -17.40,  -21.70,    1.20      
1950-01-20 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -16.90,  -21.40,    1.30      
1950-01-20 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -16.70,  -21.10,    1.40      
1950-01-20 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -16.50,  -20.80,    1.50      
1950-01-20 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -16.00,  -20.40,    1.70      
1950-01-20 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -16.69,  -21.08,    1.41      
1950-01-21 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -15.50,  -20.60,    0.80      
1950-01-21 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -15.20,  -20.20,    0.90      
1950-01-21 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -14.90,  -19.60,    1.10      
1950-01-21 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -14.50,  -19.10,    1.20      
1950-01-21 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -13.50,  -18.00,    1.90      
1950-01-21 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -14.80,  -19.57,    1.09      
1950-01-22 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -19.00,  -28.40,    0.00      
1950-01-22 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -18.30,  -27.70,    0.00      
1950-01-22 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -17.90,  -27.00,    0.00      
1950-01-22 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -17.40,  -26.20,    0.00      
1950-01-22 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -16.10,  -25.40,    0.00      
1950-01-22 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -17.79,  -26.93,    0.00      
1950-01-23 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -19.30,  -35.30,    0.00      
1950-01-23 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -19.20,  -34.70,    0.00      
1950-01-23 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -19.10,  -34.40,    0.00      
1950-01-23 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -18.30,  -33.60,    0.00      
1950-01-23 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -17.80,  -32.20,    0.00      
1950-01-23 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -18.81,  -34.15,    0.00      
1950-01-24 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -18.40,  -32.10,    0.00      
1950-01-24 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -18.00,  -31.60,    0.00      
1950-01-24 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -17.80,  -31.20,    0.00      
1950-01-24 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -17.60,  -30.80,    0.00      
1950-01-24 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -16.60,  -29.80,    0.00      
1950-01-24 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -17.78,  -31.17,    0.00      
1950-01-25 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -11.60,  -28.50,    0.00      
1950-01-25 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -11.40,  -27.90,    0.00      
1950-01-25 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -11.30,  -27.60,    0.00      
1950-01-25 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -10.90,  -27.30,    0.10      
1950-01-25 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -10.30,  -26.00,    0.20      
1950-01-25 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -11.15,  -27.54,    0.03      
1950-01-26 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -11.10,  -20.80,    6.00      
1950-01-26 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -10.80,  -20.10,    6.70      
1950-01-26 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -10.50,  -19.90,    7.10      
1950-01-26 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -10.30,  -19.80,    7.30      
1950-01-26 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -10.00,  -18.90,    7.70      
1950-01-26 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -10.53,  -19.96,    7.00      
1950-01-27 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,   -9.20,  -22.40,    0.00      
1950-01-27 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,   -9.10,  -21.70,    0.00      
1950-01-27 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,   -9.00,  -21.40,    0.00      
1950-01-27 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,   -8.80,  -21.30,    0.00      
1950-01-27 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,   -7.60,  -20.80,    0.10      
1950-01-27 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,   -8.83,  -21.48,    0.02      
1950-01-28 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -10.10,  -19.60,    0.00      
1950-01-28 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,   -9.60,  -18.70,    0.20      
1950-01-28 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,   -9.10,  -18.30,    0.40      
1950-01-28 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,   -8.80,  -17.60,    0.50      
1950-01-28 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,   -7.80,  -16.00,    0.80      
1950-01-28 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,   -9.16,  -18.18,    0.40      
1950-01-29 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -10.50,  -24.60,    0.50      
1950-01-29 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,   -9.70,  -23.20,    1.10      
1950-01-29 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,   -9.50,  -22.60,    1.40      
1950-01-29 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,   -9.40,  -22.00,    1.90      
1950-01-29 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,   -8.60,  -20.40,    3.30      
1950-01-29 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,   -9.58,  -22.65,    1.59      
1950-01-30 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -12.40,  -15.20,    5.30      
